threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.34800000000000003,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.35000000000000003,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.352,32,23,16,153,0.5818181818181818,0.6666666666666666,0.6213592233009708,0.8258928571428571,0.8893229166666666,1485.0
0.354,31,23,17,153,0.5740740740740741,0.6458333333333334,0.6078431372549019,0.8214285714285714,0.8893229166666666,1435.0
0.356,31,23,17,153,0.5740740740740741,0.6458333333333334,0.6078431372549019,0.8214285714285714,0.8893229166666666,1435.0
0.358,31,23,17,153,0.5740740740740741,0.6458333333333334,0.6078431372549019,0.8214285714285714,0.8893229166666666,1435.0
0.36,31,22,17,154,0.5849056603773585,0.6458333333333334,0.6138613861386139,0.8258928571428571,0.8893229166666666,1440.0
0.362,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.364,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.366,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.368,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.37,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.372,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.374,31,21,17,155,0.5961538461538461,0.6458333333333334,0.62,0.8303571428571429,0.8893229166666666,1445.0
0.376,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.378,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.38,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.382,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.384,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
